"Date","Price","Open","High","Low","Vol.","Change %"
"26-01-2024","2,267.57","2,218.05","2,280.80","2,195.85","363.55K","2.25%"
"25-01-2024","2,217.66","2,234.10","2,242.87","2,173.83","330.45K","-0.76%"
"24-01-2024","2,234.61","2,240.68","2,264.59","2,198.93","359.97K","-0.40%"
"23-01-2024","2,243.64","2,314.11","2,351.10","2,169.59","700.02K","-3.02%"
"22-01-2024","2,313.60","2,458.11","2,465.94","2,304.00","526.35K","-5.84%"
"21-01-2024","2,457.06","2,472.01","2,481.59","2,453.45","122.59K","-0.60%"
"20-01-2024","2,472.01","2,491.63","2,491.63","2,455.00","136.60K","-0.79%"
"19-01-2024","2,491.76","2,469.22","2,504.07","2,418.48","424.19K","0.89%"
"18-01-2024","2,469.74","2,530.62","2,548.80","2,430.94","452.12K","-2.43%"
"17-01-2024","2,531.28","2,588.49","2,592.88","2,510.00","366.32K","-2.22%"
"16-01-2024","2,588.69","2,512.00","2,613.70","2,501.02","381.04K","3.06%"
"15-01-2024","2,511.91","2,474.53","2,553.25","2,472.72","315.38K","1.53%"
"14-01-2024","2,473.98","2,577.44","2,578.32","2,470.21","306.01K","-4.05%"
"13-01-2024","2,578.39","2,522.83","2,589.99","2,498.42","422.13K","2.15%"
"12-01-2024","2,524.03","2,620.13","2,712.82","2,463.16","887.37K","-3.59%"
"11-01-2024","2,618.02","2,585.32","2,688.39","2,567.57","838.73K","1.40%"
"10-01-2024","2,581.78","2,344.82","2,629.63","2,342.28","1.04M","10.13%"
"09-01-2024","2,344.32","2,331.54","2,369.60","2,228.58","551.45K","0.57%"
"08-01-2024","2,330.98","2,221.00","2,357.13","2,167.39","539.39K","4.93%"
"07-01-2024","2,221.38","2,240.69","2,254.67","2,209.42","207.12K","-0.85%"
"06-01-2024","2,240.46","2,268.80","2,269.64","2,217.00","194.11K","-1.22%"
"05-01-2024","2,268.11","2,267.99","2,275.22","2,207.36","405.68K","0.04%"
"04-01-2024","2,267.23","2,208.40","2,293.20","2,202.96","448.73K","2.62%"
"03-01-2024","2,209.41","2,355.70","2,383.86","2,122.71","798.71K","-6.19%"
"02-01-2024","2,355.24","2,348.09","2,430.51","2,347.59","458.04K","0.14%"
"01-01-2024","2,352.04","2,281.79","2,352.04","2,266.71","216.70K","3.08%"
"31-12-2023","2,281.87","2,291.03","2,320.88","2,264.79","222.18K","-0.43%"
"30-12-2023","2,291.68","2,297.84","2,322.74","2,269.24","210.55K","-0.33%"
"29-12-2023","2,299.19","2,344.21","2,385.23","2,265.65","450.20K","-1.93%"
"28-12-2023","2,344.38","2,379.33","2,443.56","2,338.40","580.50K","-1.44%"
"27-12-2023","2,378.63","2,232.09","2,391.49","2,213.73","541.53K","6.63%"
"26-12-2023","2,230.72","2,271.34","2,274.71","2,184.74","410.36K","-1.79%"
"25-12-2023","2,271.36","2,262.98","2,303.26","2,253.22","286.29K","0.35%"
"24-12-2023","2,263.54","2,309.95","2,325.17","2,247.69","307.97K","-1.95%"
"23-12-2023","2,308.58","2,325.79","2,330.00","2,267.33","255.62K","-0.67%"
"22-12-2023","2,324.16","2,240.01","2,341.50","2,232.81","591.31K","3.78%"
"21-12-2023","2,239.61","2,201.71","2,277.70","2,183.30","453.16K","1.70%"
"20-12-2023","2,202.17","2,178.15","2,263.12","2,161.70","416.84K","1.14%"
"19-12-2023","2,177.40","2,218.95","2,254.71","2,137.85","383.69K","-1.87%"
"18-12-2023","2,218.81","2,197.75","2,223.29","2,123.09","365.00K","0.99%"
"17-12-2023","2,197.01","2,228.84","2,247.82","2,196.01","224.96K","-1.44%"
"16-12-2023","2,229.03","2,222.18","2,262.66","2,212.78","199.29K","0.39%"
"15-12-2023","2,220.40","2,315.20","2,317.35","2,213.17","333.57K","-4.10%"
"14-12-2023","2,315.31","2,261.96","2,331.61","2,237.04","409.52K","2.44%"
"13-12-2023","2,260.15","2,204.09","2,283.90","2,148.74","418.94K","2.57%"
"12-12-2023","2,203.47","2,224.46","2,243.31","2,168.17","361.62K","-0.98%"
"11-12-2023","2,225.31","2,351.73","2,354.99","2,164.26","640.37K","-5.40%"
"10-12-2023","2,352.22","2,340.83","2,376.56","2,324.13","200.04K","0.50%"
"09-12-2023","2,340.51","2,359.07","2,401.31","2,332.35","287.81K","-0.76%"
"08-12-2023","2,358.41","2,357.49","2,389.45","2,340.81","378.59K","0.11%"
"07-12-2023","2,355.74","2,232.92","2,381.72","2,224.38","485.19K","5.48%"
"06-12-2023","2,233.40","2,294.20","2,310.19","2,223.19","408.46K","-2.61%"
"05-12-2023","2,293.32","2,243.37","2,302.46","2,191.02","529.83K","2.22%"
"04-12-2023","2,243.62","2,193.58","2,272.47","2,191.42","565.29K","2.32%"
"03-12-2023","2,192.83","2,165.90","2,215.63","2,150.64","257.85K","1.29%"
"02-12-2023","2,164.81","2,087.78","2,179.73","2,086.25","320.98K","3.72%"
"01-12-2023","2,087.23","2,053.20","2,109.42","2,045.40","372.88K","1.74%"
"30-11-2023","2,051.57","2,028.29","2,054.33","2,021.44","243.66K","1.11%"
"29-11-2023","2,028.98","2,048.12","2,071.50","2,020.28","254.93K","-0.96%"
"28-11-2023","2,048.66","2,027.70","2,074.99","1,996.11","283.69K","1.05%"
